gene_stable_id,gene_name
ENSG00000179348,GATA2
ENSG00000144476,ACKR3
ENSG00000149554,CHEK1
ENSG00000110768,GTF2H1
ENSG00000117748,RPA2
ENSG00000132975,GPR12
ENSG00000124882,EREG
ENSG00000152291,TGOLN2
ENSG00000121060,TRIM25
ENSG00000034152,MAP2K3
ENSG00000157601,MX1
ENSG00000137309,HMGA1
ENSG00000229807,XIST
ENSG00000114346,ECT2
ENSG00000096968,JAK2
ENSG00000183304,FAM9A
ENSG00000101444,AHCY
ENSG00000197461,PDGFA
ENSG00000173039,RELA
ENSG00000234745,HLA-B
ENSG00000147872,PLIN2
ENSG00000109846,CRYAB
ENSG00000103653,CSK
ENSG00000107262,BAG1
ENSG00000164045,CDC25A
ENSG00000129625,REEP5
ENSG00000139289,PHLDA1
ENSG00000020256,ZFP64
ENSG00000074319,TSG101
ENSG00000243646,IL10RB
ENSG00000185507,IRF7
ENSG00000163950,SLBP
ENSG00000184557,SOCS3
ENSG00000104332,SFRP1
ENSG00000175832,ETV4
ENSG00000106991,ENG
ENSG00000167779,IGFBP6
ENSG00000075223,SEMA3C
ENSG00000196083,IL1RAP
ENSG00000076604,TRAF4
ENSG00000143799,PARP1
ENSG00000139372,TDG
ENSG00000204010,IFIT1B
ENSG00000100644,HIF1A
ENSG00000138764,CCNG2
ENSG00000120694,HSPH1
ENSG00000027697,IFNGR1
ENSG00000106211,HSPB1
ENSG00000186340,THBS2
ENSG00000119917,IFIT3
ENSG00000101000,PROCR
ENSG00000167900,TK1
ENSG00000108691,CCL2
ENSG00000184371,CSF1
,DYNLT2
ENSG00000130649,CYP2E1
,CCN1
ENSG00000169245,CXCL10
ENSG00000077782,FGFR1
ENSG00000128016,ZFP36
ENSG00000073756,PTGS2
ENSG00000055332,EIF2AK2
ENSG00000168036,CTNNB1
ENSG00000002016,RAD52
ENSG00000142627,EPHA2
ENSG00000124762,CDKN1A
ENSG00000107581,EIF3A
ENSG00000115816,CEBPZ
ENSG00000136826,KLF4
ENSG00000171223,JUNB
ENSG00000169375,SIN3A
ENSG00000131323,TRAF3
ENSG00000181222,POLR2A
ENSG00000020922,MRE11
ENSG00000130726,TRIM28
ENSG00000116044,NFE2L2
ENSG00000124107,SLPI
ENSG00000136717,BIN1
ENSG00000143333,RGS16
ENSG00000187608,ISG15
ENSG00000092345,DAZL
