gene_stable_id,gene_name
ENSG00000134884,ARGLU1
ENSG00000105011,ASF1B
ENSG00000156802,ATAD2
ENSG00000197299,BLM
ENSG00000181744,C3ORF58
ENSG00000122565,CBX3
ENSG00000105173,CCNE1
ENSG00000175305,CCNE2
ENSG00000094804,CDC6
ENSG00000097046,CDC7
ENSG00000144354,CDCA7
ENSG00000164649,CDCA7L
ENSG00000124762,CDKN1A
ENSG00000167513,CDT1
ENSG00000159259,CHAF1B
ENSG00000149554,CHEK1
ENSG00000137504,CREBZF
ENSG00000006634,DBF4
ENSG00000124795,DEK
ENSG00000228716,DHFR
ENSG00000109606,DHX15
ENSG00000130816,DNMT1
ENSG00000143476,DTL
ENSG00000128951,DUT
ENSG00000112242,E2F3
ENSG00000165891,E2F7
ENSG00000129173,E2F8
ENSG00000174371,EXO1
ENSG00000123737,EXOSC9
ENSG00000140525,FANCI
ENSG00000115392,FANCL
ENSG00000005812,FBXL3
ENSG00000112029,FBXO5
ENSG00000168496,FEN1
ENSG00000131153,GINS2
ENSG00000163655,GMPS
ENSG00000115159,GPD2
ENSG00000152749,GPR180
ENSG00000119969,HELLS
ENSG00000138668,HNRNPD
,HNRPDL
ENSG00000143493,INTS7
ENSG00000170852,KBTBD2
ENSG00000049130,KITLG
ENSG00000108424,KPNB1
ENSG00000146963,LUC7L2
ENSG00000073111,MCM2
ENSG00000112118,MCM3
ENSG00000104738,MCM4
ENSG00000076003,MCM6
ENSG00000166508,MCM7
,MLF1IP
ENSG00000095002,MSH2
ENSG00000116062,MSH6
ENSG00000099810,MTAP
ENSG00000100714,MTHFD1
ENSG00000030066,NUP160
,ORC1L
ENSG00000132646,PCNA
ENSG00000182378,PLCXD1
ENSG00000188313,PLSCR1
ENSG00000101868,POLA1
ENSG00000106628,POLD2
ENSG00000198056,PRIM1
ENSG00000131470,PSMC3IP
ENSG00000099901,RANBP1
ENSG00000162521,RBBP4
ENSG00000049541,RFC2
ENSG00000163918,RFC4
ENSG00000106615,RHEB
ENSG00000117748,RPA2
ENSG00000168061,SAC3D1
ENSG00000047634,SCML1
ENSG00000082497,SERTAD4
ENSG00000184990,SIVA1
ENSG00000163950,SLBP
ENSG00000152253,SPC25
ENSG00000084090,STARD7
ENSG00000137310,TCF19
,TMEM194A
ENSG00000120802,TMPO
ENSG00000145779,TNFAIP8
ENSG00000123416,TUBA1B
ENSG00000196230,TUBB
ENSG00000077152,UBE2T
ENSG00000076248,UNG
ENSG00000162607,USP1
ENSG00000166483,WEE1
ENSG00000127337,YEATS4
