gene_stable_id,gene_name
ENSG00000100439,ABHD4
ENSG00000166016,ABTB2
ENSG00000110881,ASIC1
ENSG00000100813,ACIN1
ENSG00000153086,ACMSD
ENSG00000123815,COQ8B
ENSG00000128918,ALDH1A2
ENSG00000123505,AMD1
ENSG00000143401,ANP32E
ENSG00000123329,ARHGAP9
ENSG00000111348,ARHGDIB
ENSG00000132694,ARHGEF11
ENSG00000152092,ASTN1
ENSG00000179774,ATOH7
ENSG00000143153,ATP1B1
ENSG00000135390,ATP5MC2
ENSG00000167863,ATP5PD
ENSG00000187676,B3GLCT
ENSG00000113916,BCL6
ENSG00000170819,BFSP2
ENSG00000173068,BNC2
ENSG00000101489,CELF4
ENSG00000174721,FGFBP3
ENSG00000119906,SLF2
ENSG00000110925,CSRNP2
ENSG00000179933,C14ORF119
,LINC03124
ENSG00000118729,CASQ2
ENSG00000079102,RUNX1T1
ENSG00000158402,CDC25C
ENSG00000040731,CDH10
ENSG00000197410,DCHS2
ENSG00000008086,CDKL5
ENSG00000111276,CDKN1B
ENSG00000123080,CDKN2C
ENSG00000170791,CHCHD7
ENSG00000106069,CHN2
ENSG00000154645,CHODL
ENSG00000205323,SARNP
ENSG00000165376,CLDN2
ENSG00000184144,CNTN2
ENSG00000168542,COL3A1
ENSG00000103540,CCP110
ENSG00000146592,CREB5
ENSG00000150938,CRIM1
ENSG00000213139,CRYGS
ENSG00000102974,CTCF
ENSG00000183230,CTNNA3
ENSG00000159248,GJD2
ENSG00000162670,BRINP3
ENSG00000175197,DDIT3
ENSG00000211448,DIO2
ENSG00000120519,SLC10A7
ENSG00000137976,DNASE2B
ENSG00000144355,DLX1
ENSG00000105880,DLX5
ENSG00000198947,DMD
ENSG00000142025,DMRTC2
ENSG00000113657,DPYSL3
ENSG00000164330,EBF1
ENSG00000221818,EBF2
ENSG00000169242,EFNA1
ENSG00000103966,EHD4
ENSG00000162374,ELAVL4
ENSG00000142227,EMP3
ENSG00000146904,EPHA1
ENSG00000164434,FABP7
ENSG00000143093,STRIP1
ENSG00000149806,FAU
ENSG00000143341,HMCN1
ENSG00000123106,CCDC91
ENSG00000125355,TMEM255A
,RSKR
ENSG00000179046,TRIML2
,KICS2
ENSG00000165805,C12ORF50
ENSG00000168944,CEP120
ENSG00000166889,PATL1
ENSG00000215915,ATAD3C
ENSG00000170088,TMEM192
ENSG00000178295,GEN1
ENSG00000196167,COLCA1
ENSG00000151117,TMEM86A
ENSG00000170608,FOXA3
ENSG00000176165,FOXG1
ENSG00000128573,FOXP2
ENSG00000177888,ZBTB41
ENSG00000163430,FSTL1
ENSG00000070404,FSTL3
ENSG00000089356,FXYD3
ENSG00000033327,GAB2
ENSG00000146013,GFRA3
ENSG00000140030,GPR65
ENSG00000198822,GRM3
ENSG00000105723,GSK3A
ENSG00000048052,HDAC9
ENSG00000164749,HNF4G
ENSG00000177733,HNRNPA0
ENSG00000105997,HOXA3
ENSG00000122592,HOXA7
ENSG00000108511,HOXB6
ENSG00000198353,HOXC4
ENSG00000172789,HOXC5
ENSG00000198890,PRMT6
ENSG00000117594,HSD11B1
ENSG00000173113,TRMT112
ENSG00000116514,RNF19B
ENSG00000068745,IP6K2
ENSG00000168310,IRF2
ENSG00000016082,ISL1
ENSG00000086544,ITPKC
ENSG00000008083,JARID2
ENSG00000177301,KCNA2
ENSG00000162989,KCNJ3
ENSG00000121774,KHDRBS1
ENSG00000176049,JAKMIP2
ENSG00000058673,ZC3H11A
ENSG00000092140,G2E3
ENSG00000266265,KLF14
ENSG00000109466,KLHL2
ENSG00000164715,LMTK2
ENSG00000138136,LBX1
ENSG00000275183,LENG9
ENSG00000273706,LHX1
ENSG00000048540,LMO3
ENSG00000143013,LMO4
ENSG00000163380,LMOD3
ENSG00000184672,RALYL
ENSG00000161992,PRR35
ENSG00000215475,SIAH3
ENSG00000260852,FBXL19-AS1
ENSG00000186648,CARMIL3
ENSG00000123384,LRP1
ENSG00000133315,MACROD1
ENSG00000081479,LRP2
ENSG00000162337,LRP5
ENSG00000184434,LRRC19
ENSG00000185565,LSAMP
ENSG00000180660,MAB21L1
ENSG00000110514,MADD
ENSG00000178573,MAF
ENSG00000108984,MAP2K6
,MARS1
ENSG00000166987,MBD6
ENSG00000112139,MDGA1
ENSG00000081189,MEF2C
ENSG00000134138,MEIS2
ENSG00000106511,MEOX2
ENSG00000162598,C1ORF87
ENSG00000273111,LYPD4
