gene_stable_id,gene_name
ENSG00000010165,EEF1AKNMT
ENSG00000010292,NCAPD2
ENSG00000011426,ANLN
ENSG00000014138,POLA2
ENSG00000014641,MDH1
ENSG00000024526,DEPDC1
ENSG00000024862,CCDC28A
ENSG00000031691,CENPQ
ENSG00000035499,DEPDC1B
ENSG00000040275,SPDL1
ENSG00000047634,SCML1
ENSG00000065268,WDR18
ENSG00000068784,SRBD1
ENSG00000071794,HLTF
ENSG00000072571,HMMR
ENSG00000074266,EED
ENSG00000075702,WDR62
ENSG00000076382,SPAG5
ENSG00000077157,PPP1R12B
ENSG00000080371,RAB21
ENSG00000080839,RBL1
ENSG00000085840,ORC1
ENSG00000086589,RBM22
ENSG00000087586,AURKA
ENSG00000088325,TPX2
ENSG00000089685,BIRC5
ENSG00000090263,MRPS33
ENSG00000090889,KIF4A
ENSG00000091651,ORC6
ENSG00000092470,WDR76
ENSG00000092964,DPYSL2
ENSG00000094804,CDC6
ENSG00000094880,CDC23
ENSG00000094916,CBX5
ENSG00000095485,CWF19L1
ENSG00000100162,CENPM
ENSG00000100401,RANGAP1
ENSG00000100526,CDKN3
ENSG00000101003,GINS1
ENSG00000101447,FAM83D
ENSG00000105467,SYNGR4
ENSG00000109016,DHRS7B
ENSG00000109805,NCAPG
ENSG00000109881,CCDC34
ENSG00000110074,FOXRED1
ENSG00000111581,NUP107
ENSG00000111665,CDCA3
ENSG00000112029,FBXO5
ENSG00000112312,GMNN
ENSG00000112742,TTK
ENSG00000113360,DROSHA
ENSG00000113811,SELENOK
ENSG00000115159,GPD2
ENSG00000117010,ZNF684
ENSG00000117318,ID3
ENSG00000117399,CDC20
ENSG00000117632,STMN1
ENSG00000117724,CENPF
ENSG00000118193,KIF14
ENSG00000119969,HELLS
ENSG00000120437,ACAT2
ENSG00000120539,MASTL
ENSG00000120802,TMPO
ENSG00000121152,NCAPH
ENSG00000121211,MND1
ENSG00000121621,KIF18A
ENSG00000122952,ZWINT
ENSG00000123219,CENPK
ENSG00000123416,TUBA1B
ENSG00000123473,STIL
ENSG00000123975,CKS2
ENSG00000124207,CSE1L
ENSG00000124575,H1-3
ENSG00000124596,OARD1
ENSG00000124635,H2BC11
ENSG00000125450,NUP85
ENSG00000125835,SNRPB
ENSG00000126787,DLGAP5
ENSG00000127337,YEATS4
ENSG00000128708,HAT1
ENSG00000128789,PSMG2
ENSG00000129534,MIS18BP1
ENSG00000129810,SGO1
ENSG00000131351,HAUS8
ENSG00000131470,PSMC3IP
ENSG00000132305,IMMT
ENSG00000132780,NASP
ENSG00000134057,CCNB1
ENSG00000134250,NOTCH2
ENSG00000134262,AP4B1
ENSG00000135336,ORC3
ENSG00000135451,TROAP
ENSG00000135913,USP37
ENSG00000136122,BORA
ENSG00000136159,NUDT15
ENSG00000136682,CBWD2
ENSG00000136824,SMC2
ENSG00000136937,NCBP1
ENSG00000136982,DSCC1
ENSG00000137135,ARHGEF39
ENSG00000137193,PIM1
ENSG00000137497,NUMA1
ENSG00000137563,GGH
ENSG00000137812,KNL1
ENSG00000137821,LRRC49
ENSG00000138092,CENPO
ENSG00000138160,KIF11
ENSG00000138180,CEP55
ENSG00000138182,KIF20B
ENSG00000138587,MNS1
ENSG00000138658,ZGRF1
ENSG00000139133,ALG10
ENSG00000142230,SAE1
ENSG00000142528,ZNF473
ENSG00000142731,PLK4
ENSG00000142856,ITGB3BP
ENSG00000142945,KIF2C
ENSG00000143228,NUF2
ENSG00000143498,TAF1A
ENSG00000143742,SRP9
ENSG00000144736,SHQ1
ENSG00000145375,SPATA5
ENSG00000145386,CCNA2
ENSG00000145723,GIN1
ENSG00000145908,ZNF300
ENSG00000146143,PRIM2
ENSG00000146918,NCAPG2
ENSG00000147274,RBMX
ENSG00000147419,CCDC25
ENSG00000147874,HAUS6
ENSG00000147996,CBWD5
ENSG00000149231,CCDC82
ENSG00000149346,SLX4IP
ENSG00000149929,HIRIP3
ENSG00000151466,SCLT1
ENSG00000151725,CENPU
ENSG00000151923,TIAL1
ENSG00000153487,ING1
ENSG00000155561,NUP205
ENSG00000155755,TMEM237
ENSG00000156136,DCK
