gene_stable_id,gene_name
ENSG00000156970,BUB1B
ENSG00000111665,CDCA3
ENSG00000166851,PLK1
ENSG00000112742,TTK
ENSG00000198901,PRC1
ENSG00000087586,AURKA
ENSG00000090889,KIF4A
ENSG00000143228,NUF2
ENSG00000123473,STIL
ENSG00000145386,CCNA2
ENSG00000134057,CCNB1
ENSG00000138160,KIF11
ENSG00000117650,NEK2
ENSG00000088325,TPX2
ENSG00000100526,CDKN3
ENSG00000117724,CENPF
ENSG00000121621,KIF18A
ENSG00000161800,RACGAP1
ENSG00000138180,CEP55
ENSG00000112029,FBXO5
ENSG00000089685,BIRC5
ENSG00000169679,BUB1
ENSG00000157456,CCNB2
ENSG00000024526,DEPDC1
ENSG00000075218,GTSE1
ENSG00000142945,KIF2C
ENSG00000143401,ANP32E
ENSG00000066279,ASPM
ENSG00000178999,AURKB
ENSG00000117399,CDC20
ENSG00000164045,CDC25A
ENSG00000184661,CDCA2
ENSG00000143476,DTL
ENSG00000118193,KIF14
ENSG00000163535,SGOL2
ENSG00000156802,ATAD2
ENSG00000112984,KIF20A
ENSG00000113368,LMNB1
ENSG00000164109,MAD2L1
ENSG00000080986,NDC80
ENSG00000120334,CENPL
ENSG00000126787,DLGAP5
ENSG00000121152,NCAPH
ENSG00000129810,SGOL1
ENSG00000120802,TMPO
ENSG00000166508,MCM7
ENSG00000133119,RFC3
ENSG00000113810,SMC4
ENSG00000152253,SPC25
ENSG00000140534,TICRR
ENSG00000147874,HAUS6
ENSG00000158402,CDC25C
ENSG00000134690,CDCA8
ENSG00000135476,ESPL1
ENSG00000072571,HMMR
ENSG00000198826,ARHGAP11A
ENSG00000122966,CIT
ENSG00000035499,DEPDC1B
ENSG00000174371,EXO1
ENSG00000129195,FAM64A
ENSG00000144354,CDCA7
ENSG00000169607,CKAP2L
ENSG00000137804,NUSAP1
ENSG00000149554,CHEK1
ENSG00000123485,HJURP
ENSG00000149503,INCENP
ENSG00000142731,PLK4
ENSG00000198554,WDHD1
ENSG00000144395,CCDC150
ENSG00000165480,SKA3
ENSG00000138778,CENPE
ENSG00000135451,TROAP
ENSG00000171241,SHCBP1
ENSG00000076382,SPAG5
ENSG00000012048,BRCA1
ENSG00000101447,FAM83D
ENSG00000168078,PBK
ENSG00000163808,KIF15
ENSG00000181938,GINS3
ENSG00000068489,PRR11
ENSG00000111247,RAD51AP1
ENSG00000138092,CENPO
ENSG00000131351,HAUS8
ENSG00000100297,MCM5
ENSG00000188486,H2AFX
ENSG00000237649,KIFC1
ENSG00000085999,RAD54L
ENSG00000163507,KIAA1524
ENSG00000136122,BORA
ENSG00000111445,RFC5
ENSG00000151466,SCLT1
ENSG00000040275,SPDL1
ENSG00000077152,UBE2T
ENSG00000166451,CENPN
ENSG00000139734,DIAPH3
ENSG00000137337,MDC1
ENSG00000171848,RRM2
ENSG00000197299,BLM
ENSG00000109674,NEIL3
ENSG00000163002,NUP35
ENSG00000104147,OIP5
ENSG00000140451,PIF1
ENSG00000051180,RAD51
ENSG00000137812,CASC5
ENSG00000170312,CDK1
ENSG00000058804,NDC1
ENSG00000171320,ESCO2
ENSG00000120699,EXOSC8
ENSG00000144554,FANCD2
ENSG00000184445,KNTC1
ENSG00000085840,ORC1
ENSG00000080839,RBL1
ENSG00000183763,TRAIP
ENSG00000075702,WDR62
ENSG00000138658,ZGRF1
ENSG00000093009,CDC45
ENSG00000177602,GSG2
ENSG00000129534,MIS18BP1
ENSG00000178921,PFAS
ENSG00000094804,CDC6
ENSG00000108106,UBE2S
ENSG00000173207,CKS1B
ENSG00000151725,CENPU
ENSG00000168496,FEN1
ENSG00000183856,IQGAP3
ENSG00000138587,MNS1
ENSG00000100162,CENPM
ENSG00000165490,DDIAS
ENSG00000182010,RTKN2
ENSG00000122952,ZWINT
ENSG00000101003,GINS1
ENSG00000136824,SMC2
ENSG00000131747,TOP2A
ENSG00000173456,RNF26
ENSG00000031691,CENPQ
ENSG00000161692,DBF4B
ENSG00000221829,FANCG
ENSG00000135913,USP37
ENSG00000139618,BRCA2
ENSG00000143493,INTS7
ENSG00000125885,MCM8
ENSG00000131470,PSMC3IP
ENSG00000196584,XRCC2
ENSG00000000460,C1ORF112
ENSG00000120647,CCDC77
ENSG00000153044,CENPH
ENSG00000123219,CENPK
ENSG00000103995,CEP152
ENSG00000167900,TK1
ENSG00000164611,PTTG1
ENSG00000127337,YEATS4
ENSG00000013573,DDX11
ENSG00000128708,HAT1
ENSG00000106355,LSM5
ENSG00000176208,ATAD5
ENSG00000172244,C5ORF34
ENSG00000154920,EME1
ENSG00000166801,FAM111A
ENSG00000187790,FANCM
ENSG00000186638,KIF24
ENSG00000144580,RQCD1
ENSG00000156876,SASS6
ENSG00000007968,E2F2
ENSG00000166803,KIAA0101
ENSG00000101574,METTL4
ENSG00000187951,ARHGAP11B
ENSG00000183765,CHEK2
ENSG00000112312,GMNN
ENSG00000167325,RRM1
ENSG00000138346,DNA2
ENSG00000181544,FANCB
ENSG00000091651,ORC6
ENSG00000164087,POC1A
ENSG00000119969,HELLS
ENSG00000274267,HIST1H3B
ENSG00000276903,HIST1H2AL
ENSG00000143033,MTF2
ENSG00000185347,C14ORF80
ENSG00000125319,C17ORF53
ENSG00000131944,C19ORF40
ENSG00000167747,C19ORF48
ENSG00000117593,DARS2
ENSG00000189403,HMGB1
ENSG00000146410,MTFR2
ENSG00000204899,MZT1
ENSG00000185480,PARPBP
ENSG00000152359,POC5
ENSG00000182628,SKA2
ENSG00000166881,TMEM194A
ENSG00000101407,TTI1
ENSG00000116830,TTF2
ENSG00000277224,HIST1H2BF
ENSG00000277775,HIST1H3F
ENSG00000069275,NUCKS1
ENSG00000170584,NUDCD2
ENSG00000055044,NOP58
ENSG00000111581,NUP107
ENSG00000160299,PCNT
ENSG00000084463,WBP11
ENSG00000149308,NPAT
ENSG00000184825,HIST1H2AH
ENSG00000255152,MSH5-SAPCD1
ENSG00000068885,IFT80
ENSG00000176225,RTTN
ENSG00000142230,SAE1
ENSG00000077312,SNRPA
ENSG00000185130,HIST1H2BL
ENSG00000109881,CCDC34
ENSG00000188312,CENPP
ENSG00000077458,FAM76B
ENSG00000278023,RDM1
ENSG00000117010,ZNF684
ENSG00000112983,BRD8
ENSG00000005189,AC004381.6
ENSG00000020922,MRE11A
ENSG00000183955,SETD8
ENSG00000152422,XRCC4
ENSG00000183077,AFMID
ENSG00000176124,DLEU1
ENSG00000110074,FOXRED1
ENSG00000111788,LOC642846
ENSG00000170860,LSM3
ENSG00000176953,NFATC2IP
ENSG00000106268,NUDT1
ENSG00000171960,PPIH
ENSG00000125835,SNRPB
ENSG00000136450,SRSF1
ENSG00000179750,APOBEC3B
