gene_stable_id,gene_name
ENSG00000117399,CDC20
ENSG00000142945,KIF2C
ENSG00000085999,RAD54L
,SIL
ENSG00000142856,ITGB3BP
ENSG00000173207,CKS1B
,CDCA1
,C1ORF155
ENSG00000066279,ASPM
ENSG00000077152,UBE2T
ENSG00000117650,NEK2
ENSG00000111247,RAD51AP1
ENSG00000126838,PZP
ENSG00000111796,KLRB1
ENSG00000013573,DDX11
ENSG00000133119,RFC3
ENSG00000198826,ARHGAP11A
ENSG00000156970,BUB1B
,CASC5
ENSG00000104147,OIP5
ENSG00000166851,PLK1
,FLJ40629
,SPBC25
ENSG00000088325,TPX2
ENSG00000144554,FANCD2
ENSG00000114346,ECT2
ENSG00000164109,MAD2L1
ENSG00000164104,HMGB2
,MLF1IP
ENSG00000072571,HMMR
,HIST1H3B
ENSG00000124635,HIST1H2BJ
ENSG00000184357,HIST1H1B
ENSG00000112742,TTK
ENSG00000135341,MAP3K7
,FAM54A
ENSG00000184661,CDCA2
ENSG00000156802,ATAD2
ENSG00000131747,TOP2A
ENSG00000077312,SNRPA
ENSG00000184678,HIST2H2BE
ENSG00000118193,KIF14
ENSG00000122966,CIT
ENSG00000166664,CHRFAM7A
ENSG00000197299,BLM
,DRF1
,FLJ14640
,SGOL1
ENSG00000142731,PLK4
ENSG00000112984,KIF20A
ENSG00000237649,KIFC1
,LUZP5
ENSG00000157456,CCNB2
,FLJ32363
ENSG00000172172,MRPL13
ENSG00000198000,NOL8
,TMEM48
ENSG00000183856,IQGAP3
ENSG00000174371,EXO1
ENSG00000122912,SLC25A16
ENSG00000107821,KAZALD1
,FLJ25416
,DLG7
,FLJ21128
,C17ORF41
ENSG00000108306,FBXL20
ENSG00000094804,CDC6
,MGC11266
,MGC4677
ENSG00000132646,PCNA
ENSG00000277775,HIST1H3F
ENSG00000197275,RAD54B
ENSG00000024526,DEPDC1
ENSG00000179361,ARID3B
ENSG00000175063,UBE2C
ENSG00000117724,CENPF
,FAM33A
,DKFZP762E1312
ENSG00000135476,ESPL1
,C1ORF156
ENSG00000146670,CDCA5
ENSG00000100442,FKBP3
,GSG2
ENSG00000178999,AURKB
ENSG00000179750,APOBEC3B
ENSG00000051341,POLQ
,FLJ22794
,C19ORF14
ENSG00000122952,ZWINT
ENSG00000121621,KIF18A
ENSG00000135451,TROAP
ENSG00000136159,NUDT15
ENSG00000139734,DIAPH3
,C20ORF72
,FKSG14
ENSG00000158402,CDC25C
,MGC3130
ENSG00000167900,TK1
ENSG00000163807,KIAA1143
ENSG00000109674,NEIL3
,MGC45866
ENSG00000229809,ZNF688
ENSG00000183696,UPP1
ENSG00000012048,BRCA1
