gene_stable_id,gene_name
ENSG00000004700,RECQL
ENSG00000013573,DDX11
ENSG00000051180,RAD51
ENSG00000051341,POLQ
ENSG00000062822,POLD1
ENSG00000071539,TRIP13
ENSG00000072501,SMC1A
ENSG00000073111,MCM2
ENSG00000080345,RIF1
ENSG00000083093,PALB2
ENSG00000085999,RAD54L
ENSG00000092853,CLSPN
ENSG00000097046,CDC7
ENSG00000100479,POLE2
ENSG00000104889,RNASEH2A
ENSG00000106268,NUDT1
ENSG00000108384,RAD51C
ENSG00000109674,NEIL3
ENSG00000111206,FOXM1
ENSG00000111602,TIMELESS
ENSG00000123374,CDK2
ENSG00000125871,MGME1
ENSG00000132646,PCNA
ENSG00000132781,MUTYH
ENSG00000133119,RFC3
ENSG00000139618,BRCA2
ENSG00000141499,WRAP53
ENSG00000146670,CDCA5
ENSG00000147536,GINS4
ENSG00000154920,EME1
ENSG00000162607,USP1
ENSG00000163918,RFC4
ENSG00000164611,PTTG1
ENSG00000164754,RAD21
ENSG00000175279,CENPS
ENSG00000178295,GEN1
ENSG00000178966,RMI1
ENSG00000182481,KPNA2
ENSG00000183763,TRAIP
ENSG00000183765,CHEK2
ENSG00000185480,PARPBP
ENSG00000196584,XRCC2
ENSG00000197275,RAD54B
ENSG00000197299,BLM
ENSG00000221829,FANCG
ENSG00000077152,UBE2T
ENSG00000117748,RPA2
ENSG00000121988,ZRANB3
ENSG00000125885,MCM8
ENSG00000134574,DDB2
ENSG00000136492,BRIP1
ENSG00000138376,BARD1
ENSG00000146263,MMS22L
ENSG00000152422,XRCC4
ENSG00000166801,FAM111A
ENSG00000168496,FEN1
ENSG00000186280,KDM4D
ENSG00000227345,PARG
ENSG00000136504,KAT7
ENSG00000020922,MRE11
ENSG00000127922,SEM1
ENSG00000140451,PIF1
ENSG00000168148,H3-4
ENSG00000181218,H2AW
ENSG00000247746,USP51
ENSG00000258366,RTEL1
ENSG00000270882,H4C14
